Item,Qty,Designator,Comment,LibPart,Footprint,Part Type,JLCPCB Part #,Comment
2,6,"C1, C8, C12, C44, C50, C51",100nF 50V,Cap,C0603,Basic Part,C14663,
3,8,"C2, C6, C9, C13, C15, C43, C68, C69",10uF 25V,Cap,C0603,Basic Part,C96446,
4,2,"C3, C14",100uF 6.3V Tantalum,Cap_Polarized,CAP-SMD_L3.5-W2.8,Basic Part,C16133,
5,5,"C4, C5, C22, C42, C49",1uF 25V,Cap,C0603,Basic Part,C15849,
7,17,"C10, C26, C27, C29, C30, C31, C32, C33, C34, C37, C46, C48, C55, C56, C60, C70, C75",100nF 16V,Cap,C0402,Basic Part,C1525,
8,9,"C11, C16, C20, C21, C28, C47, C57, C58, C59",10uF 6.3V,Cap,C0402,Basic Part,C15525,
9,1,C17,22nF 6.3V,Cap,C0402,Basic Part,C1532,
10,4,"C18, C19, C45, C53",1uF 25V,Cap,C0402,Basic Part,C52923,
11,6,"C23, C24, C71, C72, C73, C74",10uF 50V,Cap,C1206,Basic Part,C13585,
12,6,"C35, C36, C40, C41, C66, C67",15pF 16V,Cap,C0402,Basic Part,C1548,
13,2,"C38, C39",2.2uF 6.3V,Cap,C0402,Basic Part,C12530,
14,1,C52,4.7nF 50V,Cap,C0603,Basic Part,C53987,
15,1,C54,470pF 50V,Cap,C0402,Basic Part,C1537,
16,4,"C61, C62, C63, C64",10pF 50V,Cap,C0402,Basic Part,C32949,
17,1,C65,220nF 16V,Cap,C0402,Basic Part,C16772,
22,1,D3,ZMM5V6,D_Zener,LL-34_L3.5-W1.5-RD,Basic Part,C8062,
23,1,D4,SS34,D_Small,D_SMA,Basic Part,C8678,
24,1,D5,BAT54C,"BAT54C,215",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Basic Part,C37704,
25,1,D6,1N4148W,1N4148W_C81598,D_SOD-123F,Basic Part,C81598,
27,1,D9,1N4148W,D_Small,D_SOD-123F,Basic Part,C81598,
42,3,"L1, L5, L8",100R,GZ1608D601TF,L0805,Basic Part,C1015,
43,10,"L2, L3, L6, L7, L9, L10, L11, L12, L13, L14",600R,GZ1608D601TF,L0603,Basic Part,C1002,
44,1,L4,100R,GZ2012D101TF,L0805,Basic Part,C1015,
45,1,LED1,LOAD,LED_Small,LED_0603,Basic Part,C72041,
46,1,LED2,STAT,LED_Small,LED_0603,Basic Part,C72041,
47,1,LED3,VSYNC,LED_Small,LED_0603,Basic Part,C72041,
48,1,LED4,PWR,LED_Small,LED_0603,Basic Part,C72043,
50,1,Q1,AO3400A,AO3400A,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Basic Part,C20917,
51,1,Q2,AO3401A,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,Basic Part,C15127,
52,3,"Q3, Q4, Q5",S9013J3,S9013J3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,Basic Part,C6749,
53,1,Q6,SS8050,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,Basic Part,C2150,
54,3,"R1, R7, R58",4.7k,Res,R0402,Basic Part,C25900,
55,4,"R2, R4, R39, R40",4.7k,Res,R0603,Basic Part,C23162,
56,2,"R3, R8",6.8k,Res,R0402,Basic Part,C25917,
57,2,"R5, R6",47k,Res,R0603,Basic Part,C25819,
58,1,R9,800R,Res,R0603,Basic Part,C23253,820R
59,2,"R10, R46",0R,Res,R0603,Basic Part,C21189,
60,9,"R11, R12, R23, R24, R25, R36, R52, R59, R61",10k,Res 1%,R0402,Basic Part,C25744,
61,2,"R13, R38",33R,Res,R0603,Basic Part,C23140,
62,5,"R14, R15, R16, R17, R18",49.9R,Res,R0603,Basic Part,C23185,
63,5,"R19, R20, R50, R56, R57",1k,Res,R0402,Basic Part,C11702,
64,2,"R21, R22",2.2k,Res,R0402,Basic Part,C25879,
65,1,R26,51R,Res,R0603,Basic Part,C23197,
66,1,R27,100R,Res 0.1%,R0603,Basic Part,C22775,
67,1,R28,5.1k 1%,Res,R0603,Basic Part,C23186,
69,2,"R30, R31",270R,Res,R0603,Basic Part,C22966,
70,4,"R32, R33, R34, R35",49.9R 1%,Res,R0402,Basic Part,C25120,
71,1,R37,12.1k 1%,Res,R0402,Basic Part,C25752,12K
72,3,"R42, R43, R44",330R,Res,R0603,Basic Part,C23138,
73,1,R45,0R,Res,R0603,Basic Part,C21189,
74,3,"R47, R48, R49",47k,Res,R0402,Basic Part,C25792,
75,1,R51,220R,Res,R0603,Basic Part,C22962,
76,3,"R53, R54, R55",22k,Res,R0402,Basic Part,C25768,
77,2,"R60, R62",20R 1%,Res,R0603,Basic Part,C22950,
79,2,"SW1, SW2",BTN-TS-1187A-B-A-B,BTN-TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,Basic Part,C318884,
80,5,"TV1, TV2, TV3, TV4, TV5",SRV05-4-P-T7,SRV05-4-P-T7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,Basic Part,C85364,
81,1,U1,AMS1117-5.0,AMS1117-5.0,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,Basic Part,C6187,
83,1,U3,AMS1117-3.3,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,Basic Part,C6186,
85,1,U6,CJ431,CJ431_C3113,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Basic Part,C3113,
87,1,U8,LM358,Amplifier_Operational:LM358,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,Basic Part,C7950,
88,1,U9,W25Q128JVSIQTR,W25Q128JVSIQTR,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,Basic Part,C97521,
89,1,U10,LAN8720A,LAN8720A,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,Extended Part,C45223,
92,1,X1,32.768k,Osc_32768_12.5pF,FC-135R_L3.2-W1.5,Basic Part,C32346,
93,2,"X2, X3",25M,Osc_25M_12pF,OSC-SMD_4P-L3.2-W2.5-BL,Basic Part,C9006,
