Item,Qty,Reference(s),Value,Manufacture Part Number,LibPart,Footprint,Part Type,LCSC Part Number(optional),Comment,OrderQty
1,1,BUZZER1,HNB09A03,HNB09A03,HNB09A03,BUZ-TH_BD9.0-P5.00-D0.6-FD,Extended Part,C96102,,5
6,2,"C7, C25",220uF 25V,VZT221M1ETR-0607,Cap_Polarized,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD,Extended Part,C371974,,10
18,1,CAM1,OV2640_7mm_FPC-05F-24PH20,FPC-05F-24PH20,OV2640_7mm_FPC-05F-24PH20,OV2640_7mm_FPC-05F-24PH20,Extended Part,C2856805,,5
19,1,CN1,VBAT,530470210,530470210,CONN-TH_0530470210,Extended Part,C114130,,10
20,1,D1,SMAJ5.0CA,SMAJ5.0CA,SMAJ5.0CA-C83324,D_SMA,Extended Part,C83324,,5
21,1,D2,ZMM10,ZMM10,D_Zener,LL-34_L3.5-W1.5-RD,Extended Part,C707201,,50
26,3,"D7, D8, D11",PESD3V3S1BA-N,PESD3V3S1BA-N,PESD3V3S1BA-N_1,D_SOD-523,Extended Part,C316037,,20
28,1,D10,PESD3V3S1BA-N,PESD3V3S1BA-N,PESD3V3S1BA-N,D_SOD-523,Extended Part,C316037,,
29,3,"F1, F2, F3",FUSE 0.75A 33V,SMD1812-075C-33V,Device:Fuse,F1812,Extended Part,C2897468,,20
30,2,"F4, F5",100mA,BSMD0603-010-33V,BSMD0603-010-33V,F0603,Extended Part,C883090,,10
31,1,F6,FUSE 500mA,SMD0805B050TF,Device:Fuse_Small,F0805,Extended Part,C269104,,20
68,1,R29,10K,TC33X-2-103E,TC33X-2-103E,RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR,Extended Part,C719176,,5
78,1,RJ1,HY951180A,HY951180A,HY951180A,RJ45-TH_HY951180A,Extended Part,C34677,,3
82,2,"U2, U4",MT9700,MT9700,MT9700,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,Extended Part,C89855,,20
86,1,U7,STM32F407VGTx,STM32F407VGT6,MCU_ST_STM32F4:STM32F407VGTx,Package_QFP:LQFP-100_14x14mm_P0.5mm,Extended Part,C12345,,1
84,1,U5,RT9193-28GB,RT9193-28GB,RT9193-28GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,Extended Part,C427599,"Alt to C56731, remove C17",10
90,2,"U11, U12",BCR421UE6327,BCR421UE6327,BCR421UE6327,SC-74-6_L2.9-W1.6-P0.95-LS2.5-BR,Extended Part,C112923,,10
91,1,USB1,Micro,10118194-0001LF,MicroUsb-10118194-0001LF,MICRO-USB-SMD_10118194-0001LF,Extended Part,C132563,,5
71,1,R37,12.1k 1%,RT0402BRD0712K1L,Res,R0402,Extended Part,C281773,Spare parts,20
,,,,,,,,,Total Price,36.79
