Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10pF,C_0402_1005Metric,47.9,-49.9,0,top
C2,10pF,C_0402_1005Metric,47.9,-53.7,0,top
C3,10pF,C_0402_1005Metric,47.9,-56.3,0,top
C4,10pF,C_0402_1005Metric,47.9,-60.1,0,top
C5,10nF,C_0603_1608Metric,46.5,-41.9,90,top
C6,10nF,C_0603_1608Metric,47.99,-41.9,90,top
C7,1000pF,C_1206_3216Metric,47.2,-39.2,180,top
C8,220uF,CP_Elec_6.3x7.7,84.13,-35.4,0,top
C9,10uF,C_0805_2012Metric,86.7,-40.7,-90,top
C10,10uF,C_0805_2012Metric,86.7,-44.1,90,top
C11,10uF,C_0603_1608Metric,82.85,-50.92,-90,top
C12,10uF,C_1206_3216Metric,84.73,-54.73,0,top
C18,10uF,C_1206_3216Metric,80.27,-56.26,-90,top
C19,100nF,C_0603_1608Metric,70.13,-55.85,180,top
C20,47uF,C_1206_3216Metric,73.42,-64.8,0,top
C21,10nF,C_0603_1608Metric,80.57,-50.18,180,top
C22,1nF,C_0603_1608Metric,70.13,-51.33,180,top
C23,47pF,C_0603_1608Metric,70.88,-53.59,-90,top
D1,MB6S,TO-269AA,41.5,-35.4,90,top
D2,MB6S,TO-269AA,36.1,-35.4,90,top
D3,SMBJ58A,D_SMB,47.9,-33.8,0,top
D4,SMAJ5.0CA,D_SMA,74.62,-61.9,0,top
D5,SS34,D_SMA,74.62,-58.38,0,top
L1,100R,L_0805_2012Metric,44.4,-64.25,180,top
L2,100R,L_0805_2012Metric,60.5,-67,90,top
L3,HY601742,RJ45-SMD_HY601742,41.1,-55,0,top
L4,600R,L_0603_1608Metric,52.8,-37.3125,90,top
L5,SMNR4020-2.2UH,IND-SMD_L4.0-W4.0_SMNR4020,83.5,-42.3,90,top
R1,75R,R_0603_1608Metric,46.5,-44.9,90,top
R2,75R,R_0603_1608Metric,48,-44.9,90,top
R3,4.7k,R_0603_1608Metric,87.76,-50.93,-90,top
R4,6.8k,R_0603_1608Metric,87.76,-53.89,-90,top
R9,330k,R_0603_1608Metric,80.57,-53.18,180,top
R10,10k,R_0603_1608Metric,70.13,-49.82,0,top
R11,68k,R_0603_1608Metric,80.57,-51.68,0,top
R12,2k,R_0603_1608Metric,73.15,-50.4,0,top
R13,30K,R_0603_1608Metric,69.38,-53.59,-90,top
U2,MT9700,SOT-23-5,85.33,-51.5,90,top
U3,TPS54331DR,SOIC-8_3.9x4.9mm_P1.27mm,75.37,-53.88,180,top
