Item,Qty,Designator,Comment,LibPart,Footprint,Part Type,JLCPCB Part #,Comment
1,4,"C1, C2, C3, C4",10pF 50V,Cap,C0402,Basic Part,C32949,
5,2,"C9, C10",10uF 25V,Cap,C0805,Basic Part,C15850,
6,1,C11,10uF 25V,Cap,C0603,Basic Part,C96446,
7,2,"C12, C18",10uF 50V,Cap,C1206,Basic Part,C13585,
8,1,C19,100nF 50V,Cap,C0603,Basic Part,C14663,
9,1,C20,47uF 10V,Cap,C1206,Basic Part,C96123,
10,1,C22,1nF 50V,Cap,C0603,Basic Part,C1588,
11,1,C23,47pF 50V,Cap,C0603,Basic Part,C1671,
15,1,D5,SS34,SS34,D_SMA,Basic Part,C8678,
21,2,"L1, L2",100R,GZ1608D601TF,L0805,Basic Part,C1015,
23,1,L4,600R,GZ1608D601TF,L0603,Basic Part,C1002,
26,2,"R1, R2",75R,Res,R0603,Basic Part,C4275,
27,1,R3,4.7k,Res,R0603,Basic Part,C23162,
28,1,R4,6.8k,Res,R0603,Basic Part,C23212,
29,1,R9,330k,Res,R0603,Basic Part,C23137,
30,1,R10,10k,Res,R0603,Basic Part,C25804,
31,1,R11,68k,Res,R0603,Basic Part,C23231,
32,1,R12,2k,Res,R0603,Basic Part,C22975,
33,1,R13,30K,Res,R0603,Basic Part,C22984,
37,1,U3,TPS54331DR,TPS54331DR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,Basic Part,C9865,
